author,emojis,date
Bruna,":speak_no_evil:","Wednesday, June 29, 2016"
Bruna,":speak_no_evil:","Wednesday, June 29, 2016"
Bruna,":speak_no_evil:","Wednesday, June 29, 2016"
Bruna,":sob:","Wednesday, June 29, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:","Wednesday, June 29, 2016"
Jefferson,":relaxed:","Wednesday, June 29, 2016"
Bruna,":relieved:","Wednesday, June 29, 2016"
Bruna,":persevere:","Wednesday, June 29, 2016"
Bruna,":grimacing:","Wednesday, June 29, 2016"
Bruna,":speak_no_evil:","Wednesday, June 29, 2016"
Bruna,":relaxed:","Thursday, June 30, 2016"
Bruna,":tm:","Thursday, June 30, 2016"
Bruna,":pensive:","Thursday, June 30, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Thursday, June 30, 2016"
Bruna,":heart_eyes:","Thursday, June 30, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:","Thursday, June 30, 2016"
Bruna,":relaxed:","Thursday, June 30, 2016"
Bruna,":speak_no_evil:","Thursday, June 30, 2016"
Bruna,":kissing_heart:","Thursday, June 30, 2016"
Jefferson,":cry:","Thursday, June 30, 2016"
Bruna,":yum:,:yum:,:yum:","Thursday, June 30, 2016"
Bruna,":grimacing:","Thursday, June 30, 2016"
Bruna,":relieved:","Thursday, June 30, 2016"
Jefferson,":blush:","Thursday, June 30, 2016"
Jefferson,":scream:","Thursday, June 30, 2016"
Jefferson,":smiling_imp:","Thursday, June 30, 2016"
Bruna,":kissing_heart:,:kissing_heart:","Thursday, June 30, 2016"
Bruna,":relaxed:,:relaxed:,:relaxed:","Thursday, June 30, 2016"
Bruna,":sob:","Thursday, June 30, 2016"
Bruna,":relieved:","Thursday, June 30, 2016"
Bruna,":relaxed:,:relaxed:","Thursday, June 30, 2016"
Bruna,":sob:","Thursday, June 30, 2016"
Bruna,":pensive:","Thursday, June 30, 2016"
Bruna,":scream:","Friday, July 1, 2016"
Bruna,":blush:","Friday, July 1, 2016"
Bruna,":heart:","Friday, July 1, 2016"
Bruna,":relaxed:","Friday, July 1, 2016"
Bruna,":eyes:","Friday, July 1, 2016"
Bruna,":relaxed:","Friday, July 1, 2016"
Bruna,":kissing_heart:","Friday, July 1, 2016"
Jefferson,":cry:","Friday, July 1, 2016"
Bruna,":grimacing:","Friday, July 1, 2016"
Bruna,":heart:","Friday, July 1, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Friday, July 1, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:","Friday, July 1, 2016"
Bruna,":kissing_heart:","Friday, July 1, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:","Friday, July 1, 2016"
Bruna,":heart:","Friday, July 1, 2016"
Bruna,":kissing_heart:","Friday, July 1, 2016"
Jefferson,":kissing_heart:","Friday, July 1, 2016"
Jefferson,":pensive:","Friday, July 1, 2016"
Bruna,":heart_eyes:","Friday, July 1, 2016"
Bruna,":kissing_heart:","Friday, July 1, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Friday, July 1, 2016"
Bruna,":heart_eyes:","Friday, July 1, 2016"
Bruna,":relaxed:","Friday, July 1, 2016"
Bruna,":relaxed:","Friday, July 1, 2016"
Bruna,":speak_no_evil:","Friday, July 1, 2016"
Bruna,":kissing_heart:","Friday, July 1, 2016"
Bruna,":astonished:","Friday, July 1, 2016"
Bruna,":scream:","Friday, July 1, 2016"
Bruna,":heart_eyes:","Friday, July 1, 2016"
Bruna,":heart_eyes:","Friday, July 1, 2016"
Bruna,":clap:,:clap:,:clap:","Friday, July 1, 2016"
Bruna,":pensive:","Friday, July 1, 2016"
Bruna,":heart:","Friday, July 1, 2016"
Bruna,":fearful:","Friday, July 1, 2016"
Bruna,":bear:","Friday, July 1, 2016"
Bruna,":relaxed:,:relaxed:,:relaxed:","Friday, July 1, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:","Friday, July 1, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Friday, July 1, 2016"
Bruna,":information_desk_person:","Saturday, July 2, 2016"
Bruna,":relaxed:","Saturday, July 2, 2016"
Bruna,":grimacing:","Saturday, July 2, 2016"
Bruna,":heart_eyes:","Saturday, July 2, 2016"
Bruna,":relieved:","Saturday, July 2, 2016"
Bruna,":see_no_evil:","Saturday, July 2, 2016"
Bruna,":heart_eyes:","Saturday, July 2, 2016"
Jefferson,":scream:","Saturday, July 2, 2016"
Bruna,":kissing_heart:","Saturday, July 2, 2016"
Jefferson,":kissing_heart:","Saturday, July 2, 2016"
Bruna,":heart_eyes:","Saturday, July 2, 2016"
Jefferson,":disappointed:","Saturday, July 2, 2016"
Bruna,":speak_no_evil:","Sunday, July 3, 2016"
Bruna,":relaxed:","Sunday, July 3, 2016"
Bruna,":heart:","Sunday, July 3, 2016"
Jefferson,":kissing_heart:","Sunday, July 3, 2016"
Bruna,":scream:","Sunday, July 3, 2016"
Bruna,":see_no_evil:","Sunday, July 3, 2016"
Bruna,":heart:","Sunday, July 3, 2016"
Jefferson,":sob:","Sunday, July 3, 2016"
Bruna,":pensive:","Sunday, July 3, 2016"
Jefferson,":sob:","Sunday, July 3, 2016"
Bruna,":speak_no_evil:","Sunday, July 3, 2016"
Bruna,":heart_eyes:","Sunday, July 3, 2016"
Bruna,":neutral_face:","Monday, July 4, 2016"
Bruna,":relaxed:","Monday, July 4, 2016"
Bruna,":sweat:","Monday, July 4, 2016"
Bruna,":kissing_heart:","Monday, July 4, 2016"
Bruna,":relaxed:,:relaxed:,:relaxed:","Monday, July 4, 2016"
Jefferson,":sob:","Monday, July 4, 2016"
Bruna,":relaxed:","Monday, July 4, 2016"
Bruna,":sob:","Monday, July 4, 2016"
Bruna,":speak_no_evil:","Monday, July 4, 2016"
Jefferson,":blush:","Monday, July 4, 2016"
Bruna,":heart:","Monday, July 4, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Monday, July 4, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:","Monday, July 4, 2016"
Jefferson,":heart_eyes:","Monday, July 4, 2016"
Bruna,":kissing_heart:","Monday, July 4, 2016"
Bruna,":sleeping:,:sleeping:,:sleeping:","Monday, July 4, 2016"
Bruna,":tada:","Monday, July 4, 2016"
Bruna,":sob:,:sob:,:sob:","Monday, July 4, 2016"
Jefferson,":cry:","Monday, July 4, 2016"
Bruna,":ok_hand:","Monday, July 4, 2016"
Bruna,":muscle:,:muscle:,:muscle:","Monday, July 4, 2016"
Bruna,":grin:,:grin:,:grin:","Monday, July 4, 2016"
Bruna,":grin:","Monday, July 4, 2016"
Bruna,":sob:","Monday, July 4, 2016"
Bruna,":astonished:","Monday, July 4, 2016"
Bruna,":speak_no_evil:","Monday, July 4, 2016"
Bruna,":scream:","Monday, July 4, 2016"
Bruna,":heart:","Monday, July 4, 2016"
Bruna,":blush:","Monday, July 4, 2016"
Bruna,":heart_eyes:","Monday, July 4, 2016"
Jefferson,":relieved:","Tuesday, July 5, 2016"
Bruna,":laughing:","Tuesday, July 5, 2016"
Jefferson,":fire:","Tuesday, July 5, 2016"
Bruna,":eyes:","Tuesday, July 5, 2016"
Bruna,":speak_no_evil:","Tuesday, July 5, 2016"
Bruna,":relaxed:","Tuesday, July 5, 2016"
Bruna,":heart:","Tuesday, July 5, 2016"
Bruna,":heart:,:heart:,:heart:","Tuesday, July 5, 2016"
Bruna,":heart_eyes:","Tuesday, July 5, 2016"
Bruna,":heart_eyes:","Tuesday, July 5, 2016"
Bruna,":relaxed:","Tuesday, July 5, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:","Tuesday, July 5, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Tuesday, July 5, 2016"
Bruna,":relieved:","Tuesday, July 5, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:","Tuesday, July 5, 2016"
Jefferson,":kissing_heart:","Tuesday, July 5, 2016"
Bruna,":sob:","Tuesday, July 5, 2016"
Jefferson,":sob:","Tuesday, July 5, 2016"
Bruna,":sleeping:","Tuesday, July 5, 2016"
Bruna,":snowflake:","Tuesday, July 5, 2016"
Bruna,":relaxed:","Tuesday, July 5, 2016"
Bruna,":kissing_heart:","Tuesday, July 5, 2016"
Jefferson,":kissing_heart:","Tuesday, July 5, 2016"
Jefferson,":wink:","Tuesday, July 5, 2016"
Bruna,":sob:","Tuesday, July 5, 2016"
Bruna,":relaxed:","Tuesday, July 5, 2016"
Bruna,":heart_eyes:","Tuesday, July 5, 2016"
Bruna,":relaxed:","Tuesday, July 5, 2016"
Jefferson,":raised_hands:","Tuesday, July 5, 2016"
Bruna,":scream:","Tuesday, July 5, 2016"
Bruna,":heart:","Wednesday, July 6, 2016"
Bruna,":heart:","Wednesday, July 6, 2016"
Bruna,":heart_eyes:","Wednesday, July 6, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Wednesday, July 6, 2016"
Bruna,":heart:,:heart:,:heart:","Wednesday, July 6, 2016"
Bruna,":kissing_heart:","Wednesday, July 6, 2016"
Bruna,":relaxed:","Wednesday, July 6, 2016"
Bruna,":raised_hands:","Wednesday, July 6, 2016"
Bruna,":heart_eyes:","Wednesday, July 6, 2016"
Bruna,":fire:,:fire:,:fire:,:fire:","Wednesday, July 6, 2016"
Jefferson,":fire:,:fire:,:fire:,:fire:,:fire:","Wednesday, July 6, 2016"
Bruna,":kissing_heart:","Wednesday, July 6, 2016"
Bruna,":relaxed:","Wednesday, July 6, 2016"
Bruna,":heart:","Wednesday, July 6, 2016"
Jefferson,":scream:","Wednesday, July 6, 2016"
Bruna,":heart_eyes:","Wednesday, July 6, 2016"
Bruna,":relaxed:","Wednesday, July 6, 2016"
Bruna,":speak_no_evil:","Wednesday, July 6, 2016"
Bruna,":speak_no_evil:","Wednesday, July 6, 2016"
Jefferson,":pensive:","Wednesday, July 6, 2016"
Bruna,":heart_eyes:","Wednesday, July 6, 2016"
Bruna,":heart_eyes:","Wednesday, July 6, 2016"
Bruna,":heart_eyes:","Wednesday, July 6, 2016"
Bruna,":relaxed:,:relaxed:,:relaxed:","Wednesday, July 6, 2016"
Bruna,":kissing_heart:","Wednesday, July 6, 2016"
Jefferson,":heart:","Wednesday, July 6, 2016"
Bruna,":heart:","Thursday, July 7, 2016"
Jefferson,":heart_eyes:","Thursday, July 7, 2016"
Bruna,":flushed:","Thursday, July 7, 2016"
Bruna,":heart:,:heart:,:heart:,:heart:,:heart:,:heart:,:heart:,:heart:,:heart:,:heart:,:heart:,:heart:,:heart:,:heart:,:heart:,:heart:,:heart:,:heart:,:heart:,:heart:","Thursday, July 7, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Thursday, July 7, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:","Thursday, July 7, 2016"
Bruna,":kissing_heart:","Thursday, July 7, 2016"
Jefferson,":heart_eyes:","Thursday, July 7, 2016"
Jefferson,":star:","Thursday, July 7, 2016"
Bruna,":heart_eyes:","Thursday, July 7, 2016"
Bruna,":grimacing:","Thursday, July 7, 2016"
Jefferson,":ok_woman:","Thursday, July 7, 2016"
Bruna,":skull:","Thursday, July 7, 2016"
Bruna,":wink:","Thursday, July 7, 2016"
Bruna,":relaxed:","Thursday, July 7, 2016"
Bruna,":relaxed:","Thursday, July 7, 2016"
Bruna,":kissing_heart:","Thursday, July 7, 2016"
Jefferson,":heart_eyes:","Thursday, July 7, 2016"
Bruna,":heart:","Thursday, July 7, 2016"
Bruna,":sweat_smile:","Thursday, July 7, 2016"
Jefferson,":scream:","Thursday, July 7, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Thursday, July 7, 2016"
Bruna,":pensive:","Thursday, July 7, 2016"
Jefferson,":sleeping:,:zzz:,:sleeping:,:zzz:,:sleeping:","Thursday, July 7, 2016"
Bruna,":relaxed:","Thursday, July 7, 2016"
Bruna,":kissing_heart:","Thursday, July 7, 2016"
Bruna,":sleepy:","Thursday, July 7, 2016"
Bruna,":grin:","Thursday, July 7, 2016"
Jefferson,":wink:","Friday, July 8, 2016"
Bruna,":relaxed:","Friday, July 8, 2016"
Bruna,":heart_eyes:","Friday, July 8, 2016"
Jefferson,":blush:","Friday, July 8, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Friday, July 8, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:","Friday, July 8, 2016"
Bruna,":kissing_heart:","Friday, July 8, 2016"
Bruna,":scream:","Friday, July 8, 2016"
Bruna,":relaxed:","Friday, July 8, 2016"
Bruna,":heart:","Friday, July 8, 2016"
Bruna,":relaxed:","Friday, July 8, 2016"
Bruna,":kissing_heart:","Friday, July 8, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Friday, July 8, 2016"
Bruna,":sweat:,:sleepy:","Friday, July 8, 2016"
Jefferson,":heart:","Friday, July 8, 2016"
Bruna,":heart:","Friday, July 8, 2016"
Jefferson,":blush:","Friday, July 8, 2016"
Bruna,":relaxed:","Saturday, July 9, 2016"
Bruna,":relaxed:","Saturday, July 9, 2016"
Bruna,":heart_eyes:","Saturday, July 9, 2016"
Bruna,":heart:,:heart:,:heart:","Saturday, July 9, 2016"
Bruna,":heart:","Saturday, July 9, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Saturday, July 9, 2016"
Bruna,":heart:","Saturday, July 9, 2016"
Bruna,":kissing_heart:,:kissing_heart:","Saturday, July 9, 2016"
Bruna,":kissing_heart:","Saturday, July 9, 2016"
Bruna,":relaxed:","Saturday, July 9, 2016"
Bruna,":scream:","Saturday, July 9, 2016"
Bruna,":relaxed:","Saturday, July 9, 2016"
Bruna,":relieved:","Saturday, July 9, 2016"
Bruna,":heart:","Saturday, July 9, 2016"
Bruna,":new_moon_with_face:","Saturday, July 9, 2016"
Bruna,":speak_no_evil:","Saturday, July 9, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:","Sunday, July 10, 2016"
Bruna,":sos:","Sunday, July 10, 2016"
Bruna,":dizzy_face:","Sunday, July 10, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Sunday, July 10, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:","Sunday, July 10, 2016"
Bruna,":heart:","Sunday, July 10, 2016"
Bruna,":heart_eyes:","Sunday, July 10, 2016"
Bruna,":speak_no_evil:","Sunday, July 10, 2016"
Bruna,":sleeping:","Sunday, July 10, 2016"
Bruna,":heart_eyes:","Sunday, July 10, 2016"
Bruna,":raised_hands:","Sunday, July 10, 2016"
Bruna,":new_moon_with_face:","Sunday, July 10, 2016"
Bruna,":heart:","Monday, July 11, 2016"
Bruna,":relaxed:","Monday, July 11, 2016"
Jefferson,":relaxed:","Monday, July 11, 2016"
Bruna,":relaxed:","Monday, July 11, 2016"
Bruna,":heart_eyes:","Monday, July 11, 2016"
Bruna,":speak_no_evil:","Monday, July 11, 2016"
Bruna,":relaxed:","Monday, July 11, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:","Monday, July 11, 2016"
Bruna,":relaxed:","Monday, July 11, 2016"
Bruna,":flushed:","Monday, July 11, 2016"
Bruna,":kissing_heart:","Monday, July 11, 2016"
Bruna,":heart_eyes:","Monday, July 11, 2016"
Bruna,":kissing_heart:","Monday, July 11, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Monday, July 11, 2016"
Bruna,":yum:","Monday, July 11, 2016"
Bruna,":grimacing:","Monday, July 11, 2016"
Bruna,":fearful:","Monday, July 11, 2016"
Bruna,":kissing_heart:","Monday, July 11, 2016"
Bruna,":relaxed:","Monday, July 11, 2016"
Bruna,":heart:","Monday, July 11, 2016"
Jefferson,":pensive:","Monday, July 11, 2016"
Bruna,":scream:","Monday, July 11, 2016"
Bruna,":relaxed:","Monday, July 11, 2016"
Jefferson,":disappointed:","Monday, July 11, 2016"
Bruna,":disappointed:","Monday, July 11, 2016"
Jefferson,":relaxed:","Monday, July 11, 2016"
Bruna,":heart:","Monday, July 11, 2016"
Bruna,":joy:","Monday, July 11, 2016"
Bruna,":kissing_heart:","Monday, July 11, 2016"
Bruna,":fire:","Tuesday, July 12, 2016"
Bruna,":relaxed:","Tuesday, July 12, 2016"
Bruna,":relaxed:","Tuesday, July 12, 2016"
Bruna,":heart_eyes:","Tuesday, July 12, 2016"
Bruna,":relaxed:","Tuesday, July 12, 2016"
Bruna,":sob:","Tuesday, July 12, 2016"
Bruna,":heart_eyes:","Tuesday, July 12, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Tuesday, July 12, 2016"
Bruna,":heart:","Tuesday, July 12, 2016"
Bruna,":relaxed:","Tuesday, July 12, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:","Tuesday, July 12, 2016"
Bruna,":relieved:","Tuesday, July 12, 2016"
Jefferson,":cry:","Tuesday, July 12, 2016"
Bruna,":kissing_heart:","Tuesday, July 12, 2016"
Bruna,":sob:,:sob:,:sob:,:sob:,:sob:","Tuesday, July 12, 2016"
Bruna,":muscle:","Tuesday, July 12, 2016"
Bruna,":speak_no_evil:","Tuesday, July 12, 2016"
Bruna,":relaxed:","Tuesday, July 12, 2016"
Bruna,":relaxed:","Tuesday, July 12, 2016"
Bruna,":notes:","Tuesday, July 12, 2016"
Bruna,":blush:","Tuesday, July 12, 2016"
Bruna,":relaxed:","Tuesday, July 12, 2016"
Bruna,":heart_eyes:","Tuesday, July 12, 2016"
Jefferson,":cry:","Tuesday, July 12, 2016"
Jefferson,":blush:","Tuesday, July 12, 2016"
Jefferson,":scream:","Wednesday, July 13, 2016"
Bruna,":heart_eyes:","Wednesday, July 13, 2016"
Bruna,":heart:","Wednesday, July 13, 2016"
Bruna,":tada:,:tada:,:tada:,:tada:,:tada:,:tada:","Wednesday, July 13, 2016"
Bruna,":blush:","Wednesday, July 13, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:","Wednesday, July 13, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Wednesday, July 13, 2016"
Bruna,":relaxed:","Wednesday, July 13, 2016"
Bruna,":heart:","Wednesday, July 13, 2016"
Jefferson,":blush:","Wednesday, July 13, 2016"
Bruna,":star:","Wednesday, July 13, 2016"
Bruna,":umbrella:,:umbrella:,:umbrella:","Wednesday, July 13, 2016"
Bruna,":tada:","Wednesday, July 13, 2016"
Bruna,":tada:","Wednesday, July 13, 2016"
Bruna,":grimacing:,:grimacing:,:grimacing:,:grimacing:,:grimacing:","Wednesday, July 13, 2016"
Bruna,":blue_heart:","Wednesday, July 13, 2016"
Bruna,":raised_hands:","Wednesday, July 13, 2016"
Bruna,":yum:","Wednesday, July 13, 2016"
Bruna,":information_desk_person:","Wednesday, July 13, 2016"
Bruna,":relieved:","Wednesday, July 13, 2016"
Jefferson,":nail_care:","Wednesday, July 13, 2016"
Jefferson,":disappointed:","Wednesday, July 13, 2016"
Bruna,":kissing_heart:","Wednesday, July 13, 2016"
Jefferson,":disappointed:","Wednesday, July 13, 2016"
Jefferson,":kissing_heart:","Thursday, July 14, 2016"
Bruna,":heart_eyes:","Thursday, July 14, 2016"
Bruna,":heart:","Thursday, July 14, 2016"
Bruna,":grimacing:","Thursday, July 14, 2016"
Bruna,":pensive:","Thursday, July 14, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Thursday, July 14, 2016"
Bruna,":heart:","Thursday, July 14, 2016"
Bruna,":relaxed:","Thursday, July 14, 2016"
Bruna,":grin:","Thursday, July 14, 2016"
Bruna,":heart_eyes:","Thursday, July 14, 2016"
Bruna,":relaxed:","Thursday, July 14, 2016"
Bruna,":kissing_heart:","Thursday, July 14, 2016"
Bruna,":heart:","Thursday, July 14, 2016"
Bruna,":heart:","Thursday, July 14, 2016"
Bruna,":relaxed:","Thursday, July 14, 2016"
Jefferson,":kissing_heart:","Thursday, July 14, 2016"
Jefferson,":disappointed:","Thursday, July 14, 2016"
Bruna,":sob:","Thursday, July 14, 2016"
Bruna,":flushed:,:flushed:,:flushed:,:flushed:,:flushed:,:flushed:","Thursday, July 14, 2016"
Bruna,":sob:","Thursday, July 14, 2016"
Bruna,":heart:","Thursday, July 14, 2016"
Bruna,":heart_eyes:","Thursday, July 14, 2016"
Bruna,":relaxed:","Thursday, July 14, 2016"
Bruna,":relieved:","Thursday, July 14, 2016"
Bruna,":heart:","Thursday, July 14, 2016"
Bruna,":heart:","Thursday, July 14, 2016"
Bruna,":speak_no_evil:","Thursday, July 14, 2016"
Jefferson,":fire:","Thursday, July 14, 2016"
Bruna,":smiling_imp:","Thursday, July 14, 2016"
Jefferson,":fire:,:fire:,:fire:","Thursday, July 14, 2016"
Bruna,":sweat:","Thursday, July 14, 2016"
Bruna,":fire:","Thursday, July 14, 2016"
Bruna,":heart:","Thursday, July 14, 2016"
Bruna,":relaxed:","Thursday, July 14, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:","Thursday, July 14, 2016"
Bruna,":heart:","Thursday, July 14, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Thursday, July 14, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:","Thursday, July 14, 2016"
Bruna,":heart:","Thursday, July 14, 2016"
Jefferson,":heart_eyes:,:confounded:,:cry:,:kissing_heart:","Thursday, July 14, 2016"
Bruna,":kissing_heart:","Thursday, July 14, 2016"
Bruna,":relaxed:","Thursday, July 14, 2016"
Bruna,":relaxed:","Friday, July 15, 2016"
Bruna,":kissing_heart:","Friday, July 15, 2016"
Bruna,":heart_eyes:,:heart_eyes:,:heart_eyes:,:heart_eyes:,:heart_eyes:,:heart_eyes:,:heart_eyes:","Friday, July 15, 2016"
Bruna,":heart:","Friday, July 15, 2016"
Bruna,":wink:","Friday, July 15, 2016"
Bruna,":heart:,:heart:,:heart:","Friday, July 15, 2016"
Bruna,":heart:","Friday, July 15, 2016"
Jefferson,":kissing_heart:","Friday, July 15, 2016"
Bruna,":heart_eyes:","Friday, July 15, 2016"
Bruna,":information_desk_person:","Friday, July 15, 2016"
Bruna,":yellow_heart:","Friday, July 15, 2016"
Jefferson,":information_desk_person:","Friday, July 15, 2016"
Bruna,":kissing_heart:","Friday, July 15, 2016"
Bruna,":heart_eyes:,:heart:","Friday, July 15, 2016"
Jefferson,":disappointed:","Friday, July 15, 2016"
Bruna,":heart:","Friday, July 15, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:","Friday, July 15, 2016"
Bruna,":heart_eyes:","Friday, July 15, 2016"
Bruna,":heart_eyes:,:heart_eyes:,:heart_eyes:,:heart_eyes:","Friday, July 15, 2016"
Bruna,":speak_no_evil:","Friday, July 15, 2016"
Bruna,":relaxed:","Friday, July 15, 2016"
Bruna,":speak_no_evil:","Saturday, July 16, 2016"
Bruna,":relaxed:","Saturday, July 16, 2016"
Bruna,":relaxed:","Saturday, July 16, 2016"
Bruna,":kissing_heart:","Saturday, July 16, 2016"
Bruna,":relaxed:","Saturday, July 16, 2016"
Bruna,":kissing_heart:","Saturday, July 16, 2016"
Bruna,":relaxed:","Saturday, July 16, 2016"
Bruna,":scream:","Sunday, July 17, 2016"
Bruna,":relaxed:","Sunday, July 17, 2016"
Bruna,":ring:,:ring:,:ring:","Sunday, July 17, 2016"
Bruna,":speak_no_evil:","Sunday, July 17, 2016"
Bruna,":relaxed:","Sunday, July 17, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Sunday, July 17, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:","Sunday, July 17, 2016"
Bruna,":heart_eyes:","Sunday, July 17, 2016"
Bruna,":relaxed:","Sunday, July 17, 2016"
Bruna,":heart_eyes:","Sunday, July 17, 2016"
Bruna,":relaxed:","Sunday, July 17, 2016"
Bruna,":information_desk_person:","Sunday, July 17, 2016"
Bruna,":sob:","Sunday, July 17, 2016"
Bruna,":relaxed:","Sunday, July 17, 2016"
Bruna,":relaxed:","Sunday, July 17, 2016"
Bruna,":heart:","Monday, July 18, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Monday, July 18, 2016"
Bruna,":heart:","Monday, July 18, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:","Monday, July 18, 2016"
Bruna,":relieved:","Monday, July 18, 2016"
Bruna,":relieved:","Monday, July 18, 2016"
Bruna,":heart_eyes:","Monday, July 18, 2016"
Bruna,":cry:","Monday, July 18, 2016"
Bruna,":relaxed:","Monday, July 18, 2016"
Bruna,":heart:","Monday, July 18, 2016"
Bruna,":kissing_heart:","Monday, July 18, 2016"
Jefferson,":scream:","Monday, July 18, 2016"
Bruna,":heart:","Monday, July 18, 2016"
Bruna,":heart_eyes:","Monday, July 18, 2016"
Bruna,":heart_eyes:","Monday, July 18, 2016"
Bruna,":heart_eyes:,:heart_eyes:,:heart_eyes:","Monday, July 18, 2016"
Bruna,":sob:","Monday, July 18, 2016"
Bruna,":relaxed:","Monday, July 18, 2016"
Jefferson,":kissing_heart:","Monday, July 18, 2016"
Bruna,":relaxed:","Monday, July 18, 2016"
Bruna,":relaxed:","Monday, July 18, 2016"
Bruna,":relaxed:","Monday, July 18, 2016"
Bruna,":relaxed:","Monday, July 18, 2016"
Bruna,":heart:","Monday, July 18, 2016"
Bruna,":heart:","Monday, July 18, 2016"
Bruna,":heart:","Monday, July 18, 2016"
Bruna,":relaxed:","Monday, July 18, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:","Monday, July 18, 2016"
Bruna,":heart:","Monday, July 18, 2016"
Bruna,":heart:","Tuesday, July 19, 2016"
Bruna,":blush:","Tuesday, July 19, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Tuesday, July 19, 2016"
Bruna,":relaxed:","Tuesday, July 19, 2016"
Bruna,":tada:,:tada:","Tuesday, July 19, 2016"
Bruna,":tada:","Tuesday, July 19, 2016"
Bruna,":relaxed:","Tuesday, July 19, 2016"
Bruna,":tada:","Tuesday, July 19, 2016"
Bruna,":see_no_evil:","Tuesday, July 19, 2016"
Bruna,":heart:","Tuesday, July 19, 2016"
Bruna,":grimacing:","Tuesday, July 19, 2016"
Bruna,":pensive:","Tuesday, July 19, 2016"
Bruna,":wink:","Tuesday, July 19, 2016"
Bruna,":blush:","Wednesday, July 20, 2016"
Bruna,":heart:","Wednesday, July 20, 2016"
Jefferson,":kissing_heart:,:kissing_heart:,:kissing_heart:","Wednesday, July 20, 2016"
Bruna,":heart:","Wednesday, July 20, 2016"
Jefferson,":heart_eyes:","Wednesday, July 20, 2016"
Bruna,":kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:,:kissing_heart:","Wednesday, July 20, 2016"
Bruna,":pensive:","Wednesday, July 20, 2016"
Bruna,":relaxed:","Wednesday, July 20, 2016"
Bruna,":relaxed:","Wednesday, July 20, 2016"
Bruna,":kissing_heart:","Wednesday, July 20, 2016"
Bruna,":relieved:","Wednesday, July 20, 2016"
Jefferson,":disappointed:","Wednesday, July 20, 2016"
Bruna,":tada:","Wednesday, July 20, 2016"
